"TAGIHAN BULANAN JANUARI ","BAYAR","TANGGAL BAYAR","JENIS KELAMIN","STATUS BAYAR"
"100000","100000","27","1","1"
"100000","100000","27","1","1"
"100000","100000","27","0","1"
"300000","300000","27","0","1"
"125000","125000","27","0","1"
"125000","125000","29","1","0"
"100000","50000","27","1","1"
"100000","100000","29","0","0"
"150000","150000","27","1","1"
"100000","100000","29","1","0"
"400000","300000","27","1","1"
"125000","125000","29","1","0"
"100000","100000","29","1","0"
"150000","150000","27","0","1"
"100000","100000","29","0","0"
"100000","100000","29","0","0"
"350000","350000","29","1","0"
"125000","125000","29","1","0"
"115000","115000","29","1","0"
"125000","125000","27","1","1"
"250000","250000","27","0","0"
"125000","125000","29","0","0"
"125000","125000","27","0","1"
"100000","100000","29","1","0"
"100000","100000","27","1","1"
"325000","325000","27","1","1"
"125000","125000","29","0","0"
"100000","100000","27","0","1"
"125000","125000","27","0","1"
"35000","35000","29","0","0"
"125000","125000","27","0","1"
"125000","125000","27","1","1"
"125000","125000","27","0","1"
"100000","100000","27","1","1"
"125000","125000","27","0","1"
"100000","100000","27","0","1"
"100000","100000","27","1","1"
"125000","125000","27","1","1"
"100000","100000","29","1","0"
"200000","200000","29","1","0"
"375000","375000","27","0","1"
"375000","375000","27","0","1"
"125000","125000","27","0","1"
"100000","100000","29","1","0"
"200000","200000","29","1","0"
"100000","10000","27","1","1"
"125000","1125000","29","1","0"
"125000","125000","27","1","1"
"100000","100000","27","1","1"
"125000","125000","27","1","1"
"125000","125000","27","1","1"
"125000","125000","27","1","1"
"100000","100000","29","1","0"
"100000","100000","29","1","0"
"275000","275000","27","1","1"
"100000","100000","27","1","1"
"125000","125000","27","1","1"
"150000","150000","27","1","1"
"125000","125000","27","1","1"
"125000","125000","27","1","1"
"240000","240000","29","1","0"
"125000","125000","27","1","1"
"125000","125000","27","1","1"
"325000","325000","27","1","1"
"195000","195000","27","1","1"
"125000","125000","29","1","0"
"125000","125000","29","0","0"
"125000","125000","27","0","1"
"125000","125000","27","1","1"
"150000","150000","27","0","1"
"600000","600000","27","0","1"
"400000","400000","27","1","1"
"125000","125000","27","0","1"
"125000","125000","27","0","1"
"240000","240000","29","1","0"
"125000","125000","29","0","0"
"125000","125000","29","0","0"
"325000","325000","27","1","1"
"195000","195000","27","0","1"
"125000","100000","27","0","1"
"125000","125000","29","0","0"
"125000","125000","27","1","1"
"125000","125000","27","1","1"
"150000","150000","27","1","1"
"600000","600000","27","1","1"
"400000","400000","27","1","1"
"100000","100000","29","1","0"
"100000","100000","29","1","0"
"100000","100000","29","1","0"
"100000","100000","27","1","1"
"250000","250000","27","1","1"
"100000","100000","27","1","1"
"100000","100000","27","1","1"
"200000","200000","27","1","1"
"100000","100000","27","1","1"
"100000","100000","27","1","1"
"100000","50000","27","1","1"
"100000","100000","27","1","1"
"100000","100000","29","1","0"
"100000","100000","29","1","0"
"125000","125000","27","1","1"
"125000","125000","29","1","0"
"100000","100000","27","1","1"
"125000","125000","27","1","1"
"100000","100000","29","1","0"
"125000","125000","27","1","1"
"100000","100000","27","1","0"
"125000","125000","29","0","1"
